Rank,Major,Degree Type,Early Career Pay,Mid Career Pay
215,Magazine Journalism,Bachelor's,"$40,900 ","$77,800 "
216,General Business,Bachelor's,"$45,200 ","$77,700 "
217,Geosciences,Bachelor's,"$45,600 ","$77,500 "
218 (tie),Advertising & Marketing,Bachelor's,"$44,400 ","$77,400 "
218 (tie),Aviation Technology,Bachelor's,"$47,800 ","$77,400 "
218 (tie),Foreign Languages,Bachelor's,"$43,900 ","$77,400 "
221,Design,Bachelor's,"$44,700 ","$77,300 "
222,Organizational Development,Bachelor's,"$49,100 ","$77,200 "
223,Computer & Network Administration,Bachelor's,"$52,000 ","$76,900 "
224 (tie),Agribusiness Management,Bachelor's,"$45,100 ","$76,800 "
224 (tie),Business Administration,Bachelor's,"$46,300 ","$76,800 "
226,Agronomy,Bachelor's,"$46,200 ","$76,700 "
227,Technical Management,Bachelor's,"$47,700 ","$76,600 "
228 (tie),Business Management & Human Resources Management (HRM),Bachelor's,"$42,200 ","$76,500 "
228 (tie),Management,Bachelor's,"$45,400 ","$76,500 "
230,Nursing Science,Bachelor's,"$59,700 ","$76,400 "
231 (tie),English Literature,Bachelor's,"$41,400 ","$76,300 "
231 (tie),Nursing,Bachelor's,"$58,200 ","$76,300 "
233,Business Management,Bachelor's,"$46,100 ","$76,200 "
234,Spanish Literature,Bachelor's,"$46,000 ","$76,100 "
235 (tie),Accounting & Management,Bachelor's,"$49,900 ","$76,000 "
235 (tie),Marine Biology,Bachelor's,"$37,200 ","$76,000 "
237 (tie),Natural Resources,Bachelor's,"$41,600 ","$75,900 "
237 (tie),Retail Management,Bachelor's,"$44,100 ","$75,900 "
239,History,Bachelor's,"$42,200 ","$75,700 "
240,Logistics,Bachelor's,"$51,700 ","$75,300 "
241 (tie),Computer Graphics Technology (CGT),Bachelor's,"$42,500 ","$75,200 "
241 (tie),General Science,Bachelor's,"$41,600 ","$75,200 "
243,Biology,Bachelor's,"$41,200 ","$75,100 "
244,Bachelor in Science Nursing,Bachelor's,"$57,900 ","$74,900 "
245,Theatre & Drama Studies,Bachelor's,"$41,300 ","$74,800 "
246 (tie),Agriculture,Bachelor's,"$41,900 ","$74,700 "
246 (tie),French Language,Bachelor's,"$43,200 ","$74,700 "
246 (tie),Urban Studies,Bachelor's,"$44,100 ","$74,700 "
249 (tie),Communication,Bachelor's,"$42,200 ","$74,600 "
249 (tie),Pre-Medicine,Bachelor's,"$43,800 ","$74,600 "
251,Logistics Management,Bachelor's,"$50,800 ","$74,500 "
252 (tie),Accounting & Business,Bachelor's,"$46,600 ","$74,300 "
252 (tie),Business Administration & Accounting,Bachelor's,"$46,200 ","$74,300 "
252 (tie),Environmental Studies,Bachelor's,"$41,600 ","$74,300 "
252 (tie),Nutrition Science,Bachelor's,"$43,400 ","$74,300 "
256,Computer Animation,Bachelor's,"$40,700 ","$74,200 "
257,Broadcast & Cinematic Arts,Bachelor's,"$38,600 ","$74,100 "
258,Diagnostic Medical Sonography,Bachelor's,"$58,100 ","$73,800 "
259 (tie),Journalism & Mass Communication,Bachelor's,"$41,300 ","$73,700 "
259 (tie),Public Affairs,Bachelor's,"$44,700 ","$73,700 "
259 (tie),Sociology & Organizational Studies,Bachelor's,"$43,700 ","$73,700 "
262 (tie),Administration,Bachelor's,"$40,000 ","$73,600 "
262 (tie),Literature,Bachelor's,"$40,200 ","$73,600 "
262 (tie),Public Relations (PR),Bachelor's,"$40,100 ","$73,600 "
265 (tie),Landscape Architecture,Bachelor's,"$45,200 ","$73,500 "
265 (tie),Professional & Technical Writing,Bachelor's,"$42,100 ","$73,500 "
267,Technology Management,Bachelor's,"$49,500 ","$73,400 "
268 (tie),Drama,Bachelor's,"$42,600 ","$73,300 "
268 (tie),Environmental Management,Bachelor's,"$46,100 ","$73,300 "
268 (tie),International Affairs,Bachelor's,"$44,900 ","$73,300 "
268 (tie),Journalism,Bachelor's,"$41,000 ","$73,300 "
268 (tie),Zoology,Bachelor's,"$36,500 ","$73,300 "
273,Interior Architecture,Bachelor's,"$42,400 ","$73,200 "
